orig_index,Spectra,gv_fraction,npv_fraction,soil_fraction
1285,COP_20160316_5-0-E,0.45059901,0.54940099,0.00000000
441,QUE_T1.03.E,0.00000000,0.62107581,0.37892422
294,FSP_067,0.92948711,0.01923080,0.05128211
541,QUE_T1.13.E,0.00000000,0.34832585,0.65167421
840,SSI_BAPI04_20110608,0.84495199,0.15504800,0.00000000
131,Res045,0.18211895,0.00331126,0.81456983
1362,QUE_T3.03.G,0.00000000,0.54000002,0.46000001
729,SSI_SALE08_20110410,0.34981799,0.65018201,0.00000000
566,QUE_T2.01.J,0.00000000,0.79510248,0.20489755
826,SSC_SALE12_20110606,0.40430501,0.59569502,0.00000000
321,FSP_095,0.28846177,0.07051274,0.64102548
1071,Resid050,0.00000000,0.43787000,0.56212997
1567,CHC_ARGL02_20110909,0.31882399,0.68117601,0.00000000
297,FSP_070,0.93589741,0.01282051,0.05128212
1309,COP_20160418_5-30-E,0.27482301,0.72517699,0.00000000
906,SSC_SALE08_20120126,0.69265902,0.30734101,0.00000000
223,NF_078,0.02564101,0.91025633,0.06410262
685,SSC_SALE02_20110405,0.42518601,0.57481402,0.00000000
430,QUE_T1.02.D,0.00000000,0.87897581,0.12102421
1121,Resid107,0.02366860,0.01775150,0.95857990
1643,CHI_ADFA06_20111007,0.19443201,0.80556798,0.00000000
899,SSC_ARCA10_20120126,0.64488697,0.35511300,0.00000000
384,COP_20160209_2-30-E,0.35433999,0.64565998,0.00000000
1356,QUE_T3.03.A,0.00000000,0.67000002,0.33000001
1104,Resid088,0.00000000,0.01183430,0.98816574
1024,SSI_SALE07_20120302,0.58982098,0.41017899,0.00000000
626,QUE_T2.10.F,0.00000000,0.15157579,0.84842420
1267,SF_121,0.23717900,0.62179500,0.14102601
780,SSC_BAPI12_20110511,0.81276000,0.18724000,0.00000000
1636,CHC_CEME09_20111006,0.55821198,0.44178799,0.00000000
848,CHI_ADFA02_20110609,0.41571900,0.58428103,0.00000000
1701,SSI_BAPI03_20111210,0.60953701,0.39046299,0.00000000
318,FSP_092,0.00641026,0.08333334,0.91025639
434,QUE_T1.02.H,0.00000000,0.80299997,0.19700000
1326,COP_20160526_2-20-E,0.28836399,0.71163601,0.00000000
1539,CHI_ADFA11_20110908,0.29789200,0.70210803,0.00000000
1026,Resid003,0.07100584,0.68639040,0.24260379
820,SSC_SALE06_20110606,0.52788699,0.47211301,0.00000000
87,Resop165,0.01775151,0.75147939,0.23076910
896,SSC_ARCA06_20120126,0.46549901,0.53450102,0.00000000
1395,QUE_T3.06.J,0.00000000,0.01000000,0.99000001
1533,CHI_ADFA04_20110908,0.25020200,0.74979800,0.00000000
684,SSC_SALE01_20110405,0.40590301,0.59409702,0.00000000
952,SSC_BAPI09_20120223,0.68129301,0.31870699,0.00000000
1470,sa_b_080,0.17304300,0.82695699,0.00000000
548,QUE_T1.14.B,0.00000000,0.48489702,0.51510304
362,COP_20160112_2-50-E,0.11167600,0.88832402,0.00000000
209,NF_062,0.99358976,0.00641026,0.00000000
1476,sa_c_100,0.38632500,0.61367500,0.00000000
187,NF_035,0.08974363,0.20512807,0.70512825
770,SSC_BAPI01_20110511,0.72535002,0.27465001,0.00000000
1459,pr_c_000,0.25117099,0.74882901,0.00000000
1351,QUE_T3.02.F,0.00000000,0.76999998,0.23000000
395,COP_20160220_2-20-E,0.47652999,0.52346998,0.00000000
126,Res040,0.29470199,0.01324500,0.69205302
964,CHI_ADFA12_20120225,0.57874900,0.42125100,0.00000000
1098,Resid079,0.00000000,0.16568001,0.83432001
1052,Resid031,0.00000000,0.90532535,0.09467464
1630,CHC_CEME01_20111006,0.44124058,0.55875945,0.00000000
1051,Resid030,0.00000000,0.95266265,0.04733728
782,CHI_CECU02_20110519,0.52445799,0.47554201,0.00000000
1133,OPE3_012,0.05128209,0.42307693,0.52564096
1453,pr_a_080,0.34113199,0.65886801,0.00000000
1609,CHC_ADFA02_20111006,0.29014400,0.70985597,0.00000000
133,Res047,0.98675489,0.00331126,0.00993378
550,QUE_T1.14.D,0.00000000,0.29535234,0.70464766
1514,SSI_BAPI10_20110830,0.73863900,0.26136100,0.00000000
1408,QUE_T3.09.A,0.00000000,0.41999999,0.57999998
270,FSP_040,0.36538500,0.02564100,0.60897398
497,QUE_T1.09.A,0.00000000,0.37887579,0.62112421
424,QUE_T1.01.H,0.00000000,0.90202934,0.09797060
724,SSI_SALE02_20110410,0.40148899,0.59851098,0.00000000
1491,CHC_ARGL04_20110807,0.67317402,0.32682601,0.00000000
174,NF_022,0.06410256,0.51923072,0.41666678
1223,SF_070,0.01923080,0.94871789,0.03205130
197,NF_050,0.05128212,0.85897422,0.08974363
169,NF_017,0.86538458,0.12179494,0.01282049
1040,Resid017,0.05325437,0.32544386,0.62130171
842,SSI_SALE08_20110608,0.45823500,0.54176497,0.00000000
744,SSI_ARCA04_20110509,0.55603403,0.44396600,0.00000000
843,SSI_SALE09_20110608,0.19573399,0.80426598,0.00000000
1522,SSC_BAPI05_20110907,0.88280499,0.11719500,0.00000000
1348,QUE_T3.02.C,0.00000000,0.73000002,0.27000001
407,COP_20160310_2-20-E,0.58450401,0.41549599,0.00000000
1215,SF_062,0.14743599,0.17948700,0.67307699
938,CHC_CEME04_20120128,0.61184603,0.38815400,0.00000000
203,NF_056,0.05128208,0.86538470,0.08333327
308,FSP_082,0.08333327,0.05128208,0.86538470
887,SSC_BAPI07_20120113,0.63167602,0.36832401,0.00000000
1179,SF_020,0.26282099,0.71153802,0.02564100
401,COP_20160220_5-20-E,0.35694599,0.64305401,0.00000000
623,QUE_T2.10.C,0.00000000,0.23484698,0.76515305
275,FSP_045,0.06410263,0.00000000,0.93589741
1259,SF_108,0.08333328,0.16666695,0.74999982
1257,SF_106,0.05769228,0.12820496,0.81410271
1524,SSC_BAPI07_20110907,0.83591002,0.16408999,0.00000000
1422,QUE_T3.10.E,0.00000000,0.20999999,0.79000002
68,Resop133,0.05325443,0.37869823,0.56804734
411,COP_20160310_5-0-E,0.46655801,0.53344202,0.00000000
515,QUE_T1.10.I,0.00000000,0.14391440,0.85608566
1549,CHI_CECU09_20110908,0.35786399,0.64213598,0.00000000
266,FSP_036,0.44871801,0.00000000,0.55128199
1466,sn_b_000,0.05250929,0.94749075,0.00000000
853,CHI_ADFA07_20110609,0.41996101,0.58003902,0.00000000
1581,CHC_CEME09_20110909,0.47558901,0.52441102,0.00000000
60,Resop125,0.03550300,0.38461500,0.57988203
48,Resop113,0.98816574,0.01183430,0.00000000
445,QUE_T1.03.I,0.00000000,0.54522741,0.45477265
612,QUE_T2.08.F,0.00000000,0.17416516,0.82583475
851,CHI_ADFA05_20110609,0.60741800,0.39258200,0.00000000
188,NF_037,0.34193504,0.05161291,0.60645205
1173,SF_014,0.21153805,0.76923114,0.01923080
1566,CHC_ARGL01_20110909,0.41153499,0.58846498,0.00000000
1203,SF_044,0.01923080,0.90384614,0.07692311
449,QUE_T1.04.C,0.00000000,0.54522741,0.45477265
470,QUE_T1.06.D,0.00000000,0.00800000,0.99199998
910,SSC_SALE12_20120126,0.65522403,0.34477600,0.00000000
1044,Resid021,0.05325437,0.31952685,0.62721872
1449,Plant8-3,0.75300002,0.00000000,0.24699999
180,NF_028,0.07692309,0.25640997,0.66666692
865,CHI_CECU09_20110609,0.91574270,0.08425737,0.00000000
1150,OPE3_029,0.04487181,0.83333313,0.12179502
1686,SSI_SALE08_20111108,0.08879755,0.91120243,0.00000000
166,NF_014,0.10897412,0.73717976,0.15384616
831,SSI_SALE02_20110607,0.33659700,0.66340297,0.00000000
634,Plant4-2,1.00000000,0.00000000,0.00000000
5,Resop063,0.00591716,0.33727798,0.65680492
539,QUE_T1.13.C,0.00000000,0.29535234,0.70464766
1628,CHC_ARGL08_20111006,0.60863602,0.39136401,0.00000000
1156,OPE3_040,0.00641026,0.08333334,0.91025639
669,ns_b_020,0.16579500,0.83420497,0.00000000
1606,SSC_BAPI10_20110930,0.42148301,0.57851702,0.00000000
589,QUE_T2.04.C,0.00000000,0.52285689,0.47714314
1172,SF_013,0.14102598,0.85256380,0.00641026
1041,Resid018,0.12426012,0.20118320,0.67455667
1598,SSC_BAPI02_20110930,0.73474801,0.26525199,0.00000000
1013,SSI_BAPI03_20120302,0.52964002,0.47036001,0.00000000
746,SSI_SALE03_20110509,0.69120502,0.30879501,0.00000000
1235,SF_084,0.11538497,0.80128181,0.08333328
1260,SF_109,0.05128209,0.22435898,0.72435892
1201,SF_042,0.00641026,0.83333361,0.16025612
1594,SSI_BAPI12_20110927,0.56145501,0.43854499,0.00000000
890,SSC_BAPI11_20120113,0.59124601,0.40875399,0.00000000
168,NF_016,0.18589719,0.71153873,0.10256410
47,Resop112,0.98224854,0.01775149,0.00000000
944,SSC_BAPI01_20120223,0.73495901,0.26504099,0.00000000
563,QUE_T2.01.G,0.00000000,0.77293187,0.22706811
940,CHC_CEME07_20120128,0.55618000,0.44382000,0.00000000
1180,SF_021,0.21794882,0.76282036,0.01923078
1644,CHI_ADFA07_20111007,0.28598401,0.71401602,0.00000000
504,QUE_T1.09.H,0.00000000,0.38624549,0.61375445
804,CHC_ADFA12_20110521,0.54341102,0.45658901,0.00000000
357,COP_20160112_2-0-W,0.08712646,0.91287357,0.00000000
990,CHC_ARGL05_20120226,0.63680398,0.36319599,0.00000000
488,QUE_T1.08.B,0.00000000,0.29535234,0.70464766
374,COP_20160125_2-50-E,0.39494699,0.60505301,0.00000000
811,SSC_ARCA09_20110606,0.39230600,0.60769397,0.00000000
903,SSC_SALE04_20120126,0.67972100,0.32027900,0.00000000
1633,CHC_CEME04_20111006,0.56647402,0.43352601,0.00000000
1292,COP_20160405_2-10-W,0.48308945,0.51691049,0.00000000
1666,SSC_BAPI07_20111107,0.62760800,0.37239200,0.00000000
817,SSC_SALE03_20110606,0.33815899,0.66184098,0.00000000
605,QUE_T2.06.I,0.00000000,0.00000000,1.00000000
500,QUE_T1.09.D,0.00000000,0.31072429,0.68927568
281,FSP_051,0.22435901,0.00000000,0.77564102
1451,pr_a_040,0.29967400,0.70032603,0.00000000
1075,Resid054,0.00000000,0.04142009,0.95857990
39,Resop099,0.00000000,0.39645001,0.60355002
311,FSP_085,0.83333302,0.00000000,0.16666700
788,CHI_CECU08_20110519,0.70581901,0.29418099,0.00000000
1415,QUE_T3.09.H,0.00000000,0.47000000,0.52999997
210,NF_063,0.01282051,0.00000000,0.98717952
1601,SSC_BAPI05_20110930,0.30059999,0.69940001,0.00000000
1262,SF_116,0.96153849,0.03846152,0.00000000
13,Resop072,0.03550300,0.14792900,0.81656802
552,QUE_T1.14.F,0.00000000,0.29535234,0.70464766
1294,COP_20160405_2-30-E,0.57735097,0.42264900,0.00000000
1506,SSI_BAPI02_20110830,0.76990098,0.23009899,0.00000000
1638,CHI_ADFA01_20111007,0.14143001,0.85856998,0.00000000
941,CHC_CEME08_20120128,0.68441200,0.31558800,0.00000000
1264,SF_118,0.96794873,0.03205129,0.00000000
1653,CHI_CECU06_20111007,0.67798698,0.32201299,0.00000000
273,FSP_043,0.07051282,0.00000000,0.92948723
689,SSC_SALE06_20110405,0.34289199,0.65710801,0.00000000
1454,pr_a_100,0.30568299,0.69431698,0.00000000
1516,SSI_BAPI12_20110830,0.57007402,0.42992601,0.00000000
1372,QUE_T3.04.G,0.00000000,0.56000000,0.44000000
1227,SF_074,0.18589698,0.76282090,0.05128209
163,NF_011,0.14743590,0.76282054,0.08974355
666,ns_a_060,0.38665500,0.61334503,0.00000000
76,Resop142,0.00000000,1.00000000,0.00000000
1573,CHC_ARGL09_20110909,0.48133799,0.51866198,0.00000000
1410,QUE_T3.09.C,0.00000000,0.25999999,0.74000001
556,QUE_T1.14.J,0.00000000,0.25692570,0.74307430
191,NF_040,0.27564093,0.08333328,0.64102584
980,CHC_ADFA08_20120226,0.50758398,0.49241599,0.00000000
379,COP_20160125_5-40-W,0.35118899,0.64881098,0.00000000
1137,OPE3_016,0.05769229,0.60256386,0.33974391
1252,SF_101,0.28846180,0.64743555,0.06410255
1591,SSI_BAPI09_20110927,0.48200801,0.51799202,0.00000000
707,SSI_ARCA01_20110410,0.31670401,0.68329602,0.00000000
595,QUE_T2.04.I,0.00000000,0.60603940,0.39396060
1647,CHI_ADFA11_20111007,0.28538200,0.71461803,0.00000000
456,QUE_T1.04.J,0.00000000,0.56082433,0.43917570
755,SSC_ARCA10_20110510,0.57405800,0.42594200,0.00000000
78,Resop144,0.91715986,0.08284019,0.00000000
1425,QUE_T3.10.H,0.00000000,0.23000000,0.76999998
946,SSC_BAPI03_20120223,0.66410500,0.33589500,0.00000000
1385,QUE_T3.51.J,0.00000000,0.14000000,0.86000001
1579,CHC_CEME07_20110909,0.71166599,0.28833401,0.00000000
680,SSC_ARCA08_20110405,0.42608500,0.57391500,0.00000000
554,QUE_T1.14.H,0.00000000,0.34093410,0.65906590
645,ja_ex_060,0.32642299,0.67357701,0.00000000
808,SSC_ARCA04_20110606,0.41194099,0.58805901,0.00000000
1092,Resid073,0.00591716,0.00591716,0.98816574
686,SSC_SALE03_20110405,0.33415601,0.66584402,0.00000000
1035,Resid012,0.00000000,0.47929001,0.52070999
1202,SF_043,0.02564100,0.87179500,0.10256400
512,QUE_T1.10.F,0.00000000,0.28792879,0.71207124
650,ja_a_040,0.30391401,0.69608599,0.00000000
658,ja_b_100,0.06620472,0.93379533,0.00000000
103,Res017,0.00662252,0.02317879,0.97019863
106,Res020,0.16887400,0.16225199,0.66887403
962,CHI_ADFA10_20120225,0.60427099,0.39572901,0.00000000
610,QUE_T2.08.D,0.00000000,0.15908408,0.84091592
19,Resop079,0.04733729,0.62130189,0.33136091
320,FSP_094,0.71794897,0.00000000,0.28205100
59,Resop124,0.00000000,0.93491119,0.06508882
1246,SF_095,0.35897428,0.60897440,0.03205132
1500,CHC_CEME04_20110807,0.75410098,0.24589901,0.00000000
1084,Resid065,0.00000000,0.19526599,0.80473399
1315,COP_20160501_2-30-E,0.37649101,0.62350899,0.00000000
776,SSC_BAPI07_20110511,0.73674703,0.26325300,0.00000000
1541,CHI_CECU01_20110908,0.35769400,0.64230603,0.00000000
670,ns_b_040,0.15210700,0.84789300,0.00000000
1447,Plant6-7,1.00000000,0.00000000,0.00000000
833,SSI_SALE04_20110607,0.46659300,0.53340697,0.00000000
385,COP_20160209_2-40-W,0.36237699,0.63762301,0.00000000
975,CHC_ADFA02_20120226,0.52639198,0.47360799,0.00000000
312,FSP_086,0.19230799,0.00000000,0.80769199
1427,QUE_T3.10.J,0.00000000,0.23000000,0.76999998
330,FSP_104,0.00000000,0.51923102,0.48076901
712,SSI_BAPI02_20110410,0.54821801,0.45178199,0.00000000
349,COP_20151212_2-40-W,0.05109771,0.94890231,0.00000000
1229,SF_076,0.24358997,0.70512795,0.05128209
295,FSP_068,0.94230777,0.01282050,0.04487179
664,ns_a_020,0.24159400,0.75840598,0.00000000
1316,COP_20160501_2-40-W,0.07914528,0.92085475,0.00000000
1574,CHC_CEME01_20110909,0.45605201,0.54394799,0.00000000
489,QUE_T1.08.C,0.00000000,0.25000000,0.75000000
957,CHI_ADFA05_20120225,0.60328799,0.39671201,0.00000000
1467,sn_b_080,0.16313200,0.83686799,0.00000000
730,SSI_SALE12_20110410,0.21301900,0.78698099,0.00000000
1623,CHC_ARGL03_20111006,0.66149098,0.33850899,0.00000000
701,SSC_BAPI07_20110406,0.87149900,0.12850100,0.00000000
105,Res019,0.19205301,0.15562899,0.65231800
1220,SF_067,0.07692309,0.14743598,0.77564090
966,CHI_CECU03_20120225,0.61258101,0.38741899,0.00000000
1625,CHC_ARGL05_20111006,0.47797701,0.52202302,0.00000000
636,Plant4-11,1.00000000,0.00000000,0.00000000
316,FSP_090,0.03205129,0.00000000,0.96794873
632,Plant2-10,1.00000000,0.00000000,0.00000000
582,QUE_T2.03.F,0.00000000,0.57591522,0.42408481
260,FSP_029,0.28205100,0.00000000,0.71794897
453,QUE_T1.04.G,0.00000000,0.50000000,0.50000000
332,FSP_106,0.00000000,0.06410263,0.93589741
150,Res066,0.59271502,0.22516599,0.18211900
1479,CHC_ADFA05_20110807,0.53723699,0.46276301,0.00000000
370,COP_20160125_2-10-W,0.23797099,0.76202899,0.00000000
979,CHC_ADFA06_20120226,0.77337301,0.22662701,0.00000000
509,QUE_T1.10.C,0.00000000,0.13634545,0.86365449
844,SSI_SALE10_20110608,0.25800100,0.74199897,0.00000000
1184,SF_025,0.05769233,0.93589741,0.00641026
1603,SSC_BAPI07_20110930,0.54068702,0.45931301,0.00000000
1659,CHI_CECU12_20111007,0.37161201,0.62838799,0.00000000
1149,OPE3_028,0.07692309,0.63461494,0.28846198
1332,COP_20160526_5-20-E,0.01496351,0.98503649,0.00000000
458,QUE_T1.05.B,0.00000000,0.01500000,0.98500001
1020,SSI_BAPI10_20120302,0.54259598,0.45740399,0.00000000
847,CHI_ADFA01_20110609,0.32388601,0.67611402,0.00000000
365,COP_20160112_5-20-E,0.06482872,0.93517131,0.00000000
1457,pr_b_060,0.41963500,0.58036500,0.00000000
224,NF_079,0.02564100,0.92307687,0.05128209
948,SSC_BAPI05_20120223,0.66415399,0.33584601,0.00000000
278,FSP_048,0.59615397,0.00000000,0.40384600
172,NF_020,0.13461500,0.34615400,0.51923102
1329,COP_20160526_2-50-E,0.00214954,0.99785048,0.00000000
30,Resop090,0.03550301,0.05917162,0.90532535
514,QUE_T1.10.H,0.00000000,0.21976593,0.78023410
1455,pr_b_000,0.24052300,0.75947702,0.00000000
529,QUE_T1.12.C,0.00000000,0.20460230,0.79539770
523,QUE_T1.11.G,0.00000000,0.36374551,0.63625455
750,SSC_ARCA03_20110510,0.52477801,0.47522199,0.00000000
1619,CHC_ARCA01_20111006,0.19576700,0.80423301,0.00000000
574,QUE_T2.02.H,0.00000000,0.80299997,0.19700000
1492,CHC_ARGL05_20110807,0.67358702,0.32641301,0.00000000
676,SSC_ARCA01_20110405,0.44848201,0.55151802,0.00000000
998,CHC_CEME07_20120226,0.64510101,0.35489899,0.00000000
212,NF_065,0.05769228,0.00000000,0.94230765
1011,SSI_BAPI01_20120302,0.71236002,0.28764001,0.00000000
1678,SSI_BAPI07_20111108,0.69401801,0.30598199,0.00000000
46,Resop106,0.00591716,0.33727798,0.65680492
1627,CHC_ARGL07_20111006,0.41199300,0.58800697,0.00000000
21,Resop081,0.01775149,0.36686382,0.61538470
511,QUE_T1.10.E,0.00000000,0.18183635,0.81816363
190,NF_039,0.52564102,0.10256400,0.37179500
766,SSC_SALE09_20110510,0.62985897,0.37014100,0.00000000
1488,CHC_ARGL01_20110807,0.66453397,0.33546600,0.00000000
409,COP_20160310_2-40-W,0.54941899,0.45058101,0.00000000
478,QUE_T1.07.B,0.00000000,0.50780308,0.49219686
416,COP_20160310_5-50-W,0.60896999,0.39103001,0.00000000
317,FSP_091,0.00000000,0.02564100,0.97435898
215,NF_068,0.00000000,0.00000000,1.00000000
1293,COP_20160405_2-20-E,0.53550500,0.46449500,0.00000000
177,NF_025,0.15384600,0.17948700,0.66666698
869,SSC_BAPI01_20110615,0.62670302,0.37329701,0.00000000
1164,SF_005,0.67948765,0.16025615,0.16025615
1208,SF_055,0.21153800,0.62179500,0.16666700
1397,QUE_T3.07.G,0.00000000,0.47000000,0.52999997
84,Resop162,0.01775149,0.98224854,0.00000000
195,NF_048,0.03846150,0.94871801,0.01282050
508,QUE_T1.10.B,0.00000000,0.14391440,0.85608566
427,QUE_T1.02.A,0.00000000,0.82596523,0.17403480
870,SSC_BAPI02_20110615,0.74920797,0.25079200,0.00000000
674,ar_a_060,0.18629099,0.81370902,0.00000000
406,COP_20160310_2-10-W,0.42569199,0.57430798,0.00000000
319,FSP_093,0.00641026,0.00641026,0.98717946
3,Resop061,0.00000000,0.34911200,0.65088803
1270,SF_124,0.00000000,0.83333302,0.16666700
1196,SF_037,0.07051279,0.89743590,0.03205130
1589,SSI_BAPI07_20110927,0.76374000,0.23626000,0.00000000
492,QUE_T1.08.F,0.00000000,0.17416516,0.82583475
763,SSC_SALE06_20110510,0.64008999,0.35991001,0.00000000
829,SSI_ARCA04_20110607,0.28858200,0.71141797,0.00000000
422,QUE_T1.01.F,0.00000000,0.90900910,0.09099090
1703,CHI_ADFA01_20111216,0.59721398,0.40278599,0.00000000
1543,CHI_CECU03_20110908,0.33890101,0.66109902,0.00000000
1482,CHC_ADFA08_20110807,0.44144499,0.55855501,0.00000000
772,SSC_BAPI03_20110511,0.88718098,0.11281900,0.00000000
1307,COP_20160418_5-10-E,0.23461400,0.76538599,0.00000000
1513,SSI_BAPI09_20110830,0.71245599,0.28754401,0.00000000
1707,CHI_ADFA05_20111216,0.70973301,0.29026699,0.00000000
1153,OPE3_037,0.05769228,0.16666694,0.77564073
460,QUE_T1.05.D,0.00000000,0.00000000,1.00000000
255,FSP_024,0.69871801,0.00000000,0.30128199
933,CHC_ARGL08_20120128,0.64764100,0.35235900,0.00000000
1366,QUE_T3.04.A,0.00000000,0.58999997,0.41000000
1532,CHI_ADFA03_20110908,0.19426399,0.80573601,0.00000000
1166,SF_007,0.83974397,0.16025600,0.00000000
56,Resop121,0.01183429,0.91124260,0.07692306
502,QUE_T1.09.F,0.00000000,0.34832585,0.65167421
386,COP_20160209_2-50-E,0.44272399,0.55727601,0.00000000
1335,COP_20160526_5-50-W,0.00846528,0.99153477,0.00000000
1556,CHC_ADFA05_20110909,0.26092201,0.73907799,0.00000000
1616,CHC_ADFA10_20111006,0.25323999,0.74676001,0.00000000
736,SSI_BAPI06_20110507,0.67661399,0.32338601,0.00000000
185,NF_033,0.00641026,0.03846151,0.95512825
727,SSI_SALE05_20110410,0.43429399,0.56570601,0.00000000
1690,CHI_ADFA06_20111117,0.37456399,0.62543601,0.00000000
380,COP_20160125_5-50-W,0.36371800,0.63628203,0.00000000
1050,Resid029,0.82248533,0.11834305,0.05917162
397,COP_20160220_2-40-W,0.44100201,0.55899799,0.00000000
211,NF_064,0.14743599,0.00000000,0.85256398
1144,OPE3_023,0.06410263,0.12820506,0.80769235
324,FSP_098,0.14743599,0.00000000,0.85256398
1639,CHI_ADFA02_20111007,0.34386799,0.65613198,0.00000000
985,CHC_ARCA04_20120226,0.50903797,0.49096200,0.00000000
913,SSI_BAPI04_20120127,0.62351000,0.37649000,0.00000000
135,Res049,0.49668875,0.08278146,0.42052978
153,Res069,0.00662252,0.48013225,0.51324522
139,Res053,0.01324500,0.87748301,0.10927200
1036,Resid013,0.01775151,0.53254426,0.44970420
1520,SSC_BAPI03_20110907,0.73979902,0.26020101,0.00000000
361,COP_20160112_2-40-W,0.07130127,0.92869866,0.00000000
958,CHI_ADFA06_20120225,0.62917501,0.37082499,0.00000000
1535,CHI_ADFA07_20110908,0.19990000,0.80010003,0.00000000
533,QUE_T1.12.G,0.00000000,0.21207879,0.78792119
1016,SSI_BAPI06_20120302,0.47269899,0.52730101,0.00000000
274,FSP_044,0.32692301,0.00000000,0.67307699
1055,Resid034,0.00000000,0.98224854,0.01775149
200,NF_053,0.02564100,0.48076901,0.49359000
777,SSC_BAPI08_20110511,0.68113500,0.31886500,0.00000000
1284,COP_20160316_2-50-E,0.63708103,0.36291900,0.00000000
1683,SSI_BAPI12_20111108,0.51678902,0.48321101,0.00000000
368,COP_20160112_5-50-W,0.14079100,0.85920900,0.00000000
1712,CHI_ADFA10_20111216,0.64384300,0.35615700,0.00000000
378,COP_20160125_5-30-E,0.26181799,0.73818201,0.00000000
108,Res022,0.15231785,0.12251688,0.72516531
1106,Resid090,0.00000000,0.23668601,0.76331401
849,CHI_ADFA03_20110609,0.38636199,0.61363798,0.00000000
1370,QUE_T3.04.E,0.00000000,0.47999999,0.51999998
791,CHI_CECU11_20110519,0.51382202,0.48617801,0.00000000
1593,SSI_BAPI11_20110927,0.50782597,0.49217400,0.00000000
603,QUE_T2.06.G,0.00000000,0.00000000,1.00000000
1586,SSI_BAPI04_20110927,0.86813003,0.13187000,0.00000000
1212,SF_059,0.12179500,0.67307699,0.20512800
1642,CHI_ADFA05_20111007,0.40746301,0.59253699,0.00000000
179,NF_027,0.12179500,0.16666700,0.71153802
1175,SF_016,0.17307705,0.75641018,0.07051282
596,QUE_T2.04.J,0.00000000,0.63614553,0.36385447
77,Resop143,0.97633141,0.02366861,0.00000000
683,SSC_ARCA12_20110405,0.35460800,0.64539200,0.00000000
950,SSC_BAPI07_20120223,0.74205399,0.25794601,0.00000000
334,FSP_108,0.95512819,0.00000000,0.04487181
976,CHC_ADFA03_20120226,0.65328699,0.34671301,0.00000000
937,CHC_CEME03_20120128,0.58553499,0.41446501,0.00000000
1118,Resid102,0.02366859,0.13017793,0.84615350
1272,SF_126,0.14743599,0.68589699,0.16666700
617,QUE_T2.09.A,0.00000000,0.40905908,0.59094089
216,NF_069,0.03846152,0.00000000,0.96153849
1360,QUE_T3.03.E,0.00000000,0.57999998,0.41999999
1063,Resid042,0.00000000,0.66863900,0.33136100
